personName,birth_date,age,email_address,phone_number,address,city,state,zip
"Kelvin Harber",1961-06-07,64,noel.morar@gmail.com,740.830.5195,"52985 Glen Burgs",Toyport,"New Brunswick","A4E 0E4"
"Tyron Collier",1961-04-05,64,jarod.wiegand@yahoo.ca,280.271.0108,"179 Melonie Forks","South Noellabury","Prince Edward Island",E2E7P8
"Sharmaine Schamberger",1961-06-15,64,gerard.carroll@hotmail.com,"(560) 754-9605","1962 Schuster Viaduct",Thompsonstad,"New Brunswick",E6R7R3
"Guadalupe Davis",1961-03-28,64,rayford.veum@gmail.com,1-116-337-2569,"429 Walker Tunnel","Port Nichelleport",Ontario,X0P2A8
"Hal Frami",1961-05-07,64,doug.zieme@gmail.com,211-678-0761,"889 Mckinley Meadows",Carrollfurt,"Northwest Territories",T5T0T3
"Danika Rau",1961-10-07,64,barbar.langosh@yahoo.ca,813.312.5442,"73851 Rayna Summit","Port Waltonborough",Nunavut,B1R9T4
"David Mante",1960-11-30,64,silvana.mosciski@yahoo.ca,"(750) 316-5024","7887 Suellen Spring","North Brantside","Northwest Territories","A6S 9A5"
"Florencia Willms",1961-02-21,64,shelley.mills@yahoo.ca,1-072-740-3085,"27731 Leola Villages",Paucekport,Alberta,V6J7B3
"Megan Cremin",1961-10-21,63,alonso.kutch@hotmail.com,"(682) 094-6797","41616 Bednar Passage","West Ken",Ontario,X7C0A6
"Bethann Goyette",1961-11-07,63,doug.schimmel@hotmail.com,"(936) 620-9516","2790 Dewitt Isle",Theoview,"Newfoundland and Labrador","R9X 6B0"
"Natisha Haley",1961-11-01,63,leigh.bednar@yahoo.ca,136-490-3660,"138 Pamula Alley","East Roberto",Nunavut,"C0E 1E7"
"Jame Parisian",1962-10-13,63,coralee.ritchie@gmail.com,532-505-2304,"3749 Corkery Trafficway","Port Bethfurt",Yukon,B5B5Z1
"Elizabeth Hessel",1962-05-03,63,agnes.graham@gmail.com,"(456) 275-2389","924 Rashad View",Kesslerbury,Saskatchewan,"V6L 0P5"
"Donovan Hermiston",1962-06-12,63,mario.toy@gmail.com,"(986) 452-9132","2212 Collier Mission","East Tianna",Ontario,X7T7E2
"Daphine Kerluke",1962-07-28,63,gregoria.walker@gmail.com,1-413-265-8275,"3676 Tamica Keys","Lake Harley",Ontario,V5M1J5
"Sana Heidenreich",1962-04-25,63,caroline.zemlak@gmail.com,1-467-538-4605,"20583 Stefan Neck",Hillsview,"Nova Scotia","Y3P 3X1"
"Jackelyn Botsford",1962-04-13,63,quyen.dicki@yahoo.ca,439.758.7487,"06419 Benito Isle","Lake Gay",Nunavut,P9N1P5
"Leo Franecki",1962-03-14,63,lien.anderson@yahoo.ca,1-041-360-8667,"953 Lakenya Course",Hudsontown,"Prince Edward Island",R9B3E1
"Florance Treutel",1962-04-01,63,margarette.bogisich@gmail.com,928-046-7648,"39596 Eric Vista","East Cira",Manitoba,"E1P 6E8"
"Rozanne Padberg",1962-02-11,63,orval.lemke@hotmail.com,1-735-421-1463,"5400 Gutmann Spurs","East Stanfordbury","New Brunswick","B8E 1W2"
"Byron Heaney",1962-09-05,63,rochell.reichel@hotmail.com,1-394-782-9957,"473 Janet Plains",Calvintown,"Newfoundland and Labrador",E9C1Y9
"Ja Lindgren",1963-05-29,62,chester.ritchie@gmail.com,"(326) 113-9717","6777 Schiller Trail",Carrollhaven,Alberta,"X2K 4B8"
"Audrie Shields",1963-08-14,62,lyndon.bernhard@hotmail.com,873-443-6287,"2094 Schumm Grove","Lake Adellafort","New Brunswick",P7L1Z4
"Gavin Jerde",1962-12-14,62,darwin.towne@hotmail.com,888-953-3457,"13171 Haley Pike","West Brendon",Saskatchewan,V9E0Y2
"Kurt Friesen",1963-02-18,62,domenic.klein@hotmail.com,691.352.2359,"946 Mickey Road","New Bernieview",Alberta,P8P6E9
